Name,Temperature,PH,Soil,Waterlevel,Space  
Spinach,32.5416821,6,Moisturized Soil,Low,0.0225
Spinach,35.3642797,6.1,Moisturized Soil,Low,0.02252
Turmeric,29.2663521,6,Well drained Loamy Sandy Soil,Moderate,0.09
Turmeric,30.2663521,5.5,Well drained Loamy Sandy Soil,Moderate,0.091
Turmeric,31.2663521,6.5,Well drained Loamy Sandy Soil,Moderate,0.0912
Turmeric,32.2663521,5.8,Well drained Loamy Clay Soil,Moderate,0.091
Turmeric,27.0818721,5.7,Well drained Loamy Clay Soil,High,0.09
Turmeric,30.0771231,6,Well drained Loamy Clay Soil,High,0.092
Turmeric,32.0928288,5.8,Well drained Loamy Soil,High,0.0925
Turmeric,33.2663521,6.2,Well drained Loamy  Soil,High,0.09
Ginger,30.1572175,6,Well drained Loamy Sandy Soil,High,0.0625
Ginger,31.1572175,7,Well drained Loamy Sandy Soil,High,1.0625
Ginger,32.1572175,8,Well drained Loamy Sandy Soil,High,2.0625
Ginger,33.1572175,9,Well drained Loamy Sandy Soil,High,3.0625
Ginger,34.1572175,10,Well drained Loamy Sandy Soil,High,4.0625
Kathurumurunga,32.5413075,5,Well drained Carbonic Soil,Moderate,4
Kathurumurunga,33.5413075,6,Well drained Carbonic Soil,Moderate,5
Kathurumurunga,34.5413075,7,Well drained Carbonic Soil,Moderate,6
Kathurumurunga,35.5413075,8,Well drained Carbonic Soil,Moderate,7
Kathurumurunga,36.5413075,9,Well drained Carbonic Soil,Moderate,8
Kathurumurunga,37.5413075,10,Well drained Carbonic Soil,Moderate,9
Brinjals,29.5372313,5.8,Light Well drained  Soil,Moderate,0.81
Brinjals,30.5372313,6.8,Light Well drained  Soil,Moderate,1.81
Brinjals,31.5372313,7.8,Light Well drained  Soil,Moderate,2.81
Brinjals,32.5372313,8.8,Light Well drained  Soil,Moderate,3.81
Brinjals,33.5372313,9.8,Light Well drained  Soil,Moderate,4.81
nol khol,33.7102987,5.5,Well drained Carbonic Soil,Moderate,0.03
nol khol,34.7102987,6.5,Well drained Carbonic Soil,Moderate,1.03
nol khol,35.7102987,7.5,Well drained Carbonic Soil,Moderate,2.03
nol khol,36.7102987,8.5,Well drained Carbonic Soil,Moderate,3.03
nol khol,37.7102987,9.5,Well drained Carbonic Soil,Moderate,4.03
Cassava,28.2431898,6,Well drained Carbonic Soil,High,0.81
Cassava,29.2431898,7,Well drained Carbonic Soil,High,1.81
Cassava,30.2431898,8,Well drained Carbonic Soil,High,2.81
Cassava,31.2431898,9,Well drained Carbonic Soil,High,3.81
Cassava,32.2431898,10,Well drained Carbonic Soil,High,4.81
Guava,31.0132398,5.5,Well drained Carbonic Soil,Moderate,30
Guava,32.0132398,6.5,Well drained Carbonic Soil,Moderate,31
Guava,33.0132398,7.5,Well drained Carbonic Soil,Moderate,32
Guava,34.0132398,8.5,Well drained Carbonic Soil,Moderate,33
Guava,35.0132398,9.5,Well drained Carbonic Soil,Moderate,34
Mangoostenes,27.3103498,7,Well drained Carbonic Soil,Moderate,100
Mangoostenes,28.3103498,8,Well drained Carbonic Soil,Moderate,101
Mangoostenes,29.3103498,9,Well drained Carbonic Soil,Moderate,102
Mangoostenes,30.3103498,10,Well drained Carbonic Soil,Moderate,103
Mangoostenes,31.3103498,7,Well drained Carbonic Soil,Moderate,104
Avacado,28.1323782,5.7,Well drained Loamy Soil,High,52
Avacado,29.1323782,6.7,Well drained Loamy Soil,High,53
Avacado,30.1323782,7.7,Well drained Loamy Soil,High,54
Avacado,31.1323782,8.7,Well drained Loamy Soil,High,55
Avacado,32.1323782,9.7,Well drained Loamy Soil,High,56
Watermelon,31.2173367,6.5,Well drained Carbonic Loamy Sandy Soil,Moderate,0.5
Watermelon,32.2173367,7.5,Well drained Carbonic Loamy Sandy Soil,Moderate,1.5
Watermelon,33.2173367,8.5,Well drained Carbonic Loamy Sandy Soil,Moderate,2.5
Watermelon,34.2173367,9.5,Well drained Carbonic Loamy Sandy Soil,Moderate,3.5
Watermelon,35.2173367,10.5,Well drained Carbonic Loamy Sandy Soil,Moderate,4.5
Papaya,32.2779721,6,Well drained Carbonic Soil,High,200
Papaya,33.2779721,7,Well drained Carbonic Soil,High,201
Papaya,34.2779721,8,Well drained Carbonic Soil,High,202
Papaya,35.2779721,9,Well drained Carbonic Soil,High,203
Papaya,36.2779721,10,Well drained Carbonic Soil,High,204
Karapincha,27.2412083,6.4,Well drained  acidic soil,Moderate,16
Karapincha,28.2412083,7.4,Well drained  acidic soil,Moderate,17
Karapincha,29.2412083,8.4,Well drained  acidic soil,Moderate,18
Karapincha,30.2412083,9.4,Well drained  acidic soil,Moderate,19
Karapincha,31.2412083,10.4,Well drained  acidic soil,Moderate,20
Rampe,30.1562081,6.8,Well drained Loamy Soil,High,10
Rampe,31.1562081,7.8,Well drained Loamy Soil,High,11
Rampe,32.1562081,8.8,Well drained Loamy Soil,High,12
Rampe,33.1562081,9.8,Well drained Loamy Soil,High,13
Rampe,34.1562081,10.8,Well drained Loamy Soil,High,14
Cinnamon,29.5412702,10,Loamy Sandy Soil,Moderate,0.025
Cinnamon,30.5412702,11,Loamy Sandy Soil,Moderate,1.025
Cinnamon,31.5412702,12,Loamy Sandy Soil,Moderate,2.025
Cinnamon,32.5412702,13,Loamy Sandy Soil,Moderate,3.025
Cinnamon,33.5412702,14,Loamy Sandy Soil,Moderate,4.025
Okra,32.2771871,7.5,Well drained Carbonic soil,High,0.54
Okra,33.2771871,8.5,Well drained Carbonic soil,High,1.54
Okra,34.2771871,9.5,Well drained Carbonic soil,High,2.54
Okra,35.2771871,10.5,Well drained Carbonic soil,High,3.54
Okra,30.2771871,6,Well drained Carbonic soil,High,4.54
Pepper,30.3642794,6,Well drained Loamy Soil,Moderate,5.76
Pepper,31.3642794,7,Well drained Loamy Soil,Moderate,6.76
Pepper,32.3642794,8,Well drained Loamy Soil,Moderate,7.76
Pepper,33.3642794,9,Well drained Loamy Soil,Moderate,8.76
Pepper,34.3642794,10,Well drained Loamy Soil,Moderate,9.76
Innala,27.2663521,7,Well drained Loamy Sandy Soil,Moderate,0.03
Innala,28.2663521,8,Well drained Loamy Sandy Soil,Moderate,1.03
Innala,29.2663521,9,Well drained Loamy Sandy Soil,Moderate,2.03
Innala,30.2663521,10,Well drained Loamy Sandy Soil,Moderate,3.03
Innala,31.2663521,11,Well drained Loamy Sandy Soil,Moderate,4.03
Thibbatu,30.1572176,6,Well drained Loamy Soil,Moderate,5
Thibbatu,31.1572176,7,Well drained Loamy Soil,Moderate,6
Thibbatu,32.1572176,8,Well drained Loamy Soil,Moderate,7
Thibbatu,33.1572176,9,Well drained Loamy Soil,Moderate,8
Thibbatu,34.1572176,10,Well drained Loamy Soil,Moderate,9
Sarana,32.5413074,6.5,Well drained Soil,High,0.01
Sarana,33.5413074,7.5,Well drained Soil,High,1.01
Sarana,34.5413074,8.5,Well drained Soil,High,2.01
Sarana,35.5413074,9.5,Well drained Soil,High,3.01
Sarana,36.5413074,10.5,Well drained Soil,High,4.01
Ela batu,29.5372313,5.7,Well drained Light Loamy Sand,Moderate,0.54
Ela batu,30.5372313,6.7,Well drained Light Loamy Sand,Moderate,1.54
Ela batu,31.5372313,7.7,Well drained Light Loamy Sand,Moderate,2.54
Ela batu,32.5372313,8.7,Well drained Light Loamy Sand,Moderate,3.54
Ela batu,33.5372313,9.7,Well drained Light Loamy Sand,Moderate,4.54
Kohila,33.7102987,6,Well drained Soil,Moderate,0.09
Kohila,34.7102987,7,Well drained Soil,Moderate,1.09
Kohila,35.7102987,8,Well drained Soil,Moderate,2.09
Kohila,36.7102987,9,Well drained Soil,Moderate,3.09
Kohila,37.7102987,10,Well drained Soil,Moderate,4.09
Thumba Karawila,28.2431898,5.5,Well drained Carbonic soil,Moderate,1
Thumba Karawila,29.2431898,6.5,Well drained Carbonic soil,Moderate,2
Thumba Karawila,30.2431898,7.5,Well drained Carbonic soil,Moderate,3
Thumba Karawila,31.2431898,8.5,Well drained Carbonic soil,Moderate,4
Thumba Karawila,32.2431898,9.5,Well drained Carbonic soil,Moderate,5
Lime,31.0132398,6.5,Loamy Sandy Soil,High,345
Lime,32.0132398,7.5,Loamy Sandy Soil,High,346
Lime,33.0132398,8.5,Loamy Sandy Soil,High,347
Lime,34.0132398,9.5,Loamy Sandy Soil,High,348
Lime,35.0132398,10.5,Loamy Sandy Soil,High,349
Orange,27.3103498,7,Loamy Sandy Soil,High,16
Orange,28.3103498,8,Loamy Sandy Soil,High,17
Orange,29.3103498,9,Loamy Sandy Soil,High,18
Orange,30.3103498,10,Loamy Sandy Soil,High,19
Orange,31.3103498,11,Loamy Sandy Soil,High,20
Star Fruit,28.1323782,5.5,Well drained Loamy Soil,High,20
Star Fruit,29.1323782,6.5,Well drained Loamy Soil,High,21
Star Fruit,30.1323782,7.5,Well drained Loamy Soil,High,22
Star Fruit,31.1323782,8.5,Well drained Loamy Soil,High,23
Star Fruit,32.1323782,9.5,Well drained Loamy Soil,High,24
Rambutan,28.2173367,4.5,Well drained Loamy Soil,High,100
Rambutan,29.2173367,5.5,Well drained Loamy Soil,High,101
Rambutan,30.2173367,6.5,Well drained Loamy Soil,High,102
Rambutan,31.2173367,7.5,Well drained Loamy Soil,High,103
Rambutan,32.2173367,8.5,Well drained Loamy Soil,High,104
Pani Dodam,30.2779721,5,Well drained Carbonic Soil,High,20
Pani Dodam,31.2779721,6,Well drained Carbonic Soil,High,21
Pani Dodam,32.2779721,7,Well drained Carbonic Soil,High,22
Pani Dodam,33.2779721,8,Well drained Carbonic Soil,High,23
Pani Dodam,34.2779721,9,Well drained Carbonic Soil,High,24
Carrot,17.3781573,6,Carbonic Loamy Sandy Soil,High,0.05
Carrot,18.3781573,7,Carbonic Loamy Sandy Soil,High,1.05
Carrot,19.3781573,8,Carbonic Loamy Sandy Soil,High,2.05
Carrot,20.3781573,9,Carbonic Loamy Sandy Soil,High,3.05
Carrot,21.3781573,10,Carbonic Loamy Sandy Soil,High,4.05
